no,name,lat,lon,catchment,river
115588,Inveruglas,56.2473573,-4.71287133,Leven (Durnbartonshire),
367365,Inverurie,57.2583172,-2.362253256,Don (Aberdeenshire),
115589,Irvine Gailes,55.58754361,-4.663320263,Irvine and Ayr,
15006,Jedburgh,55.48529122,-2.54668704,Tweed,Jed Water
541725,Jedburgh Castle,55.47029248,-2.557045815,Tweed,
367360,Keith,57.55084994,-2.952079018,Deveron Group,
341380,Killermont Raingauge,55.91108458,-4.305014408,Clyde,
234252,Killilan,57.31881832,-5.424835603,Loch Alsh Group,Ling
14933,Killin,56.45816211,-4.331876561,Tay,Dochart
234253,Kilphedir,58.14138911,-3.702814019,Helmsdale Group,Helmsdale
14890,Kinbuck,56.2255551,-3.949530685,Forth,Allan Water
14955,Kindrogan,56.74926972,-3.544931301,Tay,Ardle
473550,Kinghorn Ecology Centre Rain Gauge,56.07462319,-3.193432968,Firth of Forth Group,
14972,Kingledores,55.54240926,-3.413947163,Tweed,Tweed
14968,Kinkell Bridge,56.33018709,-3.726992915,Earn,Earn
115596,Kinmount House,55.01095443,-3.351411196,Nith,
335617,Kirkcaldy,56.11765342,-3.147961765,Firth of Forth Group,
115598,Kirkcowan,54.91691338,-4.612059475,Cree,
504458,Kirkcudbright Raingauge,54.84543419,-4.038511682,Dee (Galloway),
515885,Kirkwall,58.98622363,-2.949352863,Orkneys,
361048,Kirriemuir STW,56.65983513,-2.999773468,Tay,
115599,Kirriereoch,55.15077902,-4.571934377,Cree,
115363,Knockanrock,58.03118174,-5.07294078,Laxford Group,
368486,Ladyflat Farm,55.75636712,-2.369501202,Tweed,Back Burn (Borders)
115600,Lagafater Lodge,55.04328363,-4.913741812,Cree,
115603,Lanark STW,55.67436394,-3.795938206,Clyde,
354621,Langwell Lodge,57.9748238,-5.100589967,Laxford Group,Canaird
14902,Lathro,56.2213192,-3.42872292,Firth of Forth Group,North Queich
356217,Laxdale,57.86865846,-6.893581696,Outer Hebrides,Laxdale
412495,Lecht Weather Station,57.19821668,-3.25888009,Spey,
338381,Letham Grange,56.60403394,-2.609495534,Esk Group,
133106,Lingerton,56.01244753,-5.422443562,Fyne Group,
234264,Little Assynt,58.17438109,-5.152302768,Laxford Group,Inver
354613,Loch Ailsh Level,58.04827715,-4.855312073,Shin Group,Oykel
115368,Loch Droma,57.73309629,-4.936434641,Laxford Group,
14910,Loch Katrine,56.22701614,-4.43624573,Forth,Achray Water
485489,Loch Restil,56.23604254,-4.853369348,Firth of Clyde Group,
354622,Loch Tormasad,57.56195723,-7.316740973,Outer Hebrides,Tormasad
14898,Loch Venachar,56.23425763,-4.25686637,Forth,Eas Gobhain
336847,Lochindorb North,57.41478835,-3.691385645,Findhorn Group,
509677,Lochwinnoch,55.78853152,-4.618943233,Clyde,Black Cart Water
473167,Lossiemouth,57.71918475,-3.323337879,Spey,
115611,Low Creoch,54.90352684,-4.18922643,Cree,
115612,Lower Black Laggan,55.07053305,-4.398510409,Dee (Galloway),
14865,Luffness,56.02022484,-2.821888561,Tyne (Lothian),Peffer Burn (West)
115376,Luib,57.5445048,-5.123945869,Conon Group,
327237,Lukeston,55.98447497,-4.240765022,Clyde,
129558,Luss Raingauge,56.09892116,-4.638863963,Leven (Durnbartonshire),
14974,Lyne Station,55.64733183,-3.25808918,Tweed,Lyne Water
115616,Meadowfoot,55.40534471,-3.799886702,Nith,
115617,Merton Bank Lochmaben,55.13494009,-3.439865821,Annan,
354623,Mill Croft,57.2886568,-7.368331541,Outer Hebrides,Abhainn Roag
205209,Mill Of Gavel,57.55561687,-2.009109628,Ythan Group,
115618,Millport,55.74955539,-4.907441406,Irvine and Ayr,
494729,Milton of Evelix TBR,57.89128749,-4.084164503,Shin Group,
338429,Minnigaff,54.9588823,-4.471659058,Cree,
14949,Moar,56.57276553,-4.388958153,Tay,Lyon
115235,Mongour,57.00199506,-2.388582046,Dee (Aberdeenshire),
15078,Montrose,56.69908575,-2.491155025,Esk Group,
133115,Monyquil Farm,55.56419458,-5.271931931,Kintyre Group,Machrie Water
15022,Mouthbridge,55.77012815,-2.279193263,Tweed,Blackadder Water
115622,Muirkirk STW,55.51335703,-4.096604222,Irvine and Ayr,
490986,Muirshiel RG,55.84918458,-4.742664896,Clyde,
372859,Murray Burn,55.91287677,-3.317681386,Tyne (Lothian),Murray Burn
335650,Murton,56.65077608,-2.823539396,Esk Group,Lunan Water
335651,Mylnefield,56.46017678,-3.075838089,Firth of Tay Group,
341224,Nairn Dunbar Golf Course,57.59406094,-3.842759406,Findhorn Group,
234289,New Kelso,57.42953514,-5.429999168,Loch Alsh Group,Carron (Wester Ross)
15083,Newton of Falkland,56.25431474,-3.186268594,Firth of Tay Group,
115627,Newtonairds,55.10134134,-3.742902191,Nith,
335797,Nigg Headworks,57.13140193,-2.061103972,Esk Group,
335621,North Berwick (Kingston),56.03149667,-2.734270572,Tyne (Lothian),
15215,Nunraw Abbey,55.92185875,-2.653499917,Tyne (Lothian),
367364,Old Mill of Newton,57.35801578,-2.577016947,Ythan Group,
15007,Ormiston Mill,55.54491924,-2.473314492,Tweed,Teviot
335375,Penwhapple Reservoir,55.23585144,-4.747897404,Doon Group,
341345,Perth Norwich Union,56.38611935,-3.464092253,Tay,
115632,Picketlaw Reservoir,55.73611493,-4.281846657,Clyde,
486057,Pluscarden Abbey,57.59946107,-3.433170424,Findhorn Group,Black Burn
234294,Polhollick,57.05514629,-3.083180673,Dee (Aberdeenshire),Dee (Grampian)
234295,Polloch,56.75844885,-5.613663683,Loch Sheil Group,Allt Coire nan Con
15187,Polmonthill STW,55.99776804,-3.680208641,Firth of Forth Group,
115634,Portling,54.87093795,-3.744601282,Dee (Galloway),
15149,Portmoak,56.19239436,-3.334726298,Firth of Forth Group,
344764,Prestwick,55.50523784,-4.610940702,Irvine and Ayr,
335575,Quarry Head,57.63465034,-2.025944065,Ythan Group,
115638,Quinloch Farm,56.0079586,-4.377500029,Leven (Durnbartonshire),
485490,Rest and be Thankful,56.22216848,-4.859016846,Firth of Clyde Group,
115390,Rhian Bridge,58.11499626,-4.439159665,Shin Group,
336217,Rhiconich,58.42139172,-4.991227379,Laxford Group,
368013,RhynieGS,57.3317252,-2.828953912,Deveron Group,
133124,Ross Priory,56.05257642,-4.55746111,Leven (Durnbartonshire),Loch Lomond
15070,Rossie Farm,56.29912602,-3.202717904,Firth of Tay Group,
115239,Rothienorman,57.40900118,-2.466784574,Ythan Group,
15155,Saline,56.12224003,-3.585958925,Forth,
115645,Saughall,55.60098751,-4.226431521,Irvine and Ayr,
347562,Scardroy No3,57.51892459,-4.985935657,Shin Group,
574971,Seilich Dam,56.96866496,-4.035393912,Spey,
234305,Sgodachail,57.89327664,-4.546976399,Shin Group,Carron (Sutherland)
14975,Shiplaw,55.72796917,-3.207291434,Tweed,Eddleston Water
494255,Shotts WWTW,55.81395203,-3.811987501,Clyde,
464630,Slamannan,55.94205217,-3.832217321,Firth of Forth Group,
234314,Sluggan,57.27399763,-3.875997348,Spey,
